movie,production_budget,profit,profit_margin,release_date,runtime_minutes,genres,director
Robin Hood,246211844.66375607,255528212.44624323,1.0378388285714288,2010-05-14,116.0,Thriller,Otto Bathurst
Robin Hood,246211844.66375607,255528212.44624323,1.0378388285714288,2010-05-14,,,Diana Brooks
Robin Hood,246211844.66375607,255528212.44624323,1.0378388285714288,2010-05-14,60.0,Action,Lance B. Witmer
Robin Hood,246211844.66375607,255528212.44624323,1.0378388285714288,2010-05-14,60.0,Adventure,Lance B. Witmer
Robin Hood,246211844.66375607,255528212.44624323,1.0378388285714288,2010-05-14,60.0,History,Lance B. Witmer
King Kong,270972857.14285713,735157715.7704761,2.7130308309178743,2005-12-14,,Action,Thiago J. Silva
King Kong,270972857.14285713,735157715.7704761,2.7130308309178743,2005-12-14,,Adventure,Thiago J. Silva
The Golden Compass,252769265.27186966,286517397.3816303,1.1335135902439022,2007-12-07,,,
Black Panther,203623953.13551593,1881808875.252502,9.24158895,2018-02-16,134.0,Action,Ryan Coogler
Black Panther,203623953.13551593,1881808875.252502,9.24158895,2018-02-16,134.0,Adventure,Ryan Coogler
Black Panther,203623953.13551593,1881808875.252502,9.24158895,2018-02-16,134.0,Sci-Fi,Ryan Coogler
Titanic,318575700.93457943,4249118638.4531026,13.337861694999999,1997-12-19,,Adventure,Pete Meads
Titanic,318575700.93457943,4249118638.4531026,13.337861694999999,1997-12-19,,Adventure,Kevin Lincoln
Titanic,318575700.93457943,4249118638.4531026,13.337861694999999,1997-12-19,115.0,Family,Ravi Punj
Incredibles 2,203623953.13551593,1681020044.5942764,8.255512275,2018-06-15,118.0,Action,Brad Bird
Incredibles 2,203623953.13551593,1681020044.5942764,8.255512275,2018-06-15,118.0,Adventure,Brad Bird
Incredibles 2,203623953.13551593,1681020044.5942764,8.255512275,2018-06-15,118.0,Animation,Brad Bird
Rogue One: A Star Wars Story,213041286.29581636,1471348531.4105837,6.9064008999999995,2016-12-16,133.0,Action,Gareth Edwards
Rogue One: A Star Wars Story,213041286.29581636,1471348531.4105837,6.9064008999999995,2016-12-16,133.0,Adventure,Gareth Edwards
Rogue One: A Star Wars Story,213041286.29581636,1471348531.4105837,6.9064008999999995,2016-12-16,133.0,Sci-Fi,Gareth Edwards
Finding Dory,213041286.29581636,1392768864.3888636,6.53755377,2016-06-17,97.0,Adventure,Andrew Stanton
