movie,production_budget,profit,profit_margin,release_date,runtime_minutes,genres,director
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,95.0,Comedy,Pete Docter
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,95.0,Comedy,Ronnie Del Carmen
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,75.0,Biography,Alastair Siddons
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,75.0,Documentary,Alastair Siddons
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,75.0,History,Alastair Siddons
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,,,
Inside Out,188762725.8804221,1117149266.3221247,5.918272588571429,2015-06-19,,,Russell Davidson
Spider-Man: Homecoming,182522743.96214098,1084046892.9133892,5.9392428,2017-07-07,133.0,Action,Jon Watts
Spider-Man: Homecoming,182522743.96214098,1084046892.9133892,5.9392428,2017-07-07,133.0,Adventure,Jon Watts
Spider-Man: Homecoming,182522743.96214098,1084046892.9133892,5.9392428,2017-07-07,133.0,Sci-Fi,Jon Watts
Suicide Squad,186411125.5088393,954595332.7871144,5.120913948571428,2016-08-05,123.0,Action,David Ayer
Suicide Squad,186411125.5088393,954595332.7871144,5.120913948571428,2016-08-05,123.0,Adventure,David Ayer
Suicide Squad,186411125.5088393,954595332.7871144,5.120913948571428,2016-08-05,123.0,Fantasy,David Ayer
Up,208541999.74829516,1012283769.8366109,4.854100234285714,2009-05-29,,,
Coco,182522743.96214098,868530947.6754732,4.758480662857143,2017-11-22,,,
Coco,182522743.96214098,868530947.6754732,4.758480662857143,2017-11-22,105.0,Adventure,Lee Unkrich
Coco,182522743.96214098,868530947.6754732,4.758480662857143,2017-11-22,105.0,Adventure,Adrian Molina
Coco,182522743.96214098,868530947.6754732,4.758480662857143,2017-11-22,105.0,Animation,Lee Unkrich
Coco,182522743.96214098,868530947.6754732,4.758480662857143,2017-11-22,105.0,Animation,Adrian Molina
Coco,182522743.96214098,868530947.6754732,4.758480662857143,2017-11-22,105.0,Comedy,Lee Unkrich
Coco,182522743.96214098,868530947.6754732,4.758480662857143,2017-11-22,105.0,Comedy,Adrian Molina
